"Date","gdp.log","inflation","inflation.expectations","oil.price.inflation","import.price.inflation","interest","covid.ind"
"1/1/1959 0:00",8.1174,2.7239,2.6218,-6.3576,1.2427,2.7176,0
"4/1/1959 0:00",8.1396,2.1342,2.5329,-20.424,5.728,3.2785,0
"7/1/1959 0:00",8.1403,2.6582,2.13,-12.0479,2.9258,3.7252,0
"10/1/1959 0:00",8.1432,2.3115,2.2327,-3.6277,3.638,4.1387,0
"1/1/1960 0:00",8.1654,1.2391,1.8751,8.6769,-2.8583,4.1387,0
"4/1/1960 0:00",8.16,1.5121,2.0667,-0.0896,-1.1026,4.0169,0
"7/1/1960 0:00",8.1649,1.5816,2.2669,3.3733,1.3428,3.328,0
"10/1/1960 0:00",8.152,1.3007,2.0712,10.3164,-1.4864,3.0883,0
"1/1/1961 0:00",8.1587,0.6737,1.6562,-4.0912,0.0393,3.0883,0
"4/1/1961 0:00",8.1756,1.3192,1.5957,-4.2926,-0.053,3.0883,0
"7/1/1961 0:00",8.1946,1.7357,1.6368,8.8512,-0.7393,3.0883,0
"10/1/1961 0:00",8.214,0.9638,1.5075,-0.1384,0.9461,3.0883,0
"1/1/1962 0:00",8.2317,1.4782,1.562,-8.2001,-4.4611,3.0883,0
"4/1/1962 0:00",8.2407,1.5218,1.5305,-4.6552,0.7251,3.0883,0
"7/1/1962 0:00",8.2529,1.3207,1.521,-7.1587,-1.5364,3.0883,0
"10/1/1962 0:00",8.2562,0.7562,1.4046,-11.1805,2.9037,3.0883,0
"1/1/1963 0:00",8.2671,1.3139,1.4927,13.6473,3.0824,3.0883,0
"4/1/1963 0:00",8.2782,1.5032,1.5528,-1.5944,1.7956,3.0883,0
"7/1/1963 0:00",8.3,1.5458,1.5724,10.0749,1.8519,3.5202,0
"10/1/1963 0:00",8.3065,1.9239,1.6587,2.1892,2.2974,3.6121,0
"1/1/1964 0:00",8.3274,1.6997,1.6203,-5.3171,4.4109,3.6121,0
"4/1/1964 0:00",8.3382,1.1927,1.502,-0.3213,2.0989,3.6121,0
"7/1/1964 0:00",8.3537,1.0941,1.499,-5.8458,-0.2547,3.6121,0
"10/1/1964 0:00",8.3568,1.0201,1.5132,2.0062,1.7006,3.8304,0
"1/1/1965 0:00",8.3807,1.5135,1.671,-1.8793,2.8582,4.1103,0
"4/1/1965 0:00",8.3933,1.2255,1.6444,4.1804,-1.4504,4.2199,0
"7/1/1965 0:00",8.4153,1.2452,1.6348,5.2179,2.9036,4.2169,0
"10/1/1965 0:00",8.438,1.3349,1.6552,-8.4756,4.8618,4.3156,0
"1/1/1966 0:00",8.4621,2.0056,1.8015,-3.5214,2.2304,4.7265,0
"4/1/1966 0:00",8.4655,3.2205,2.0415,1.5648,4.3082,5.1072,0
"7/1/1966 0:00",8.4739,3.2863,2.0629,5.6263,-1.7257,5.638,0
